date,petrol_price,diesel_price,dollar_to_rupee
29-May-2021,94.0,84.95,72.3962
28-May-2021,93.74,84.67,72.3962
27-May-2021,93.74,84.67,72.7058
26-May-2021,93.5,84.38,72.729
25-May-2021,93.5,84.38,72.8007
24-May-2021,93.27,84.13,72.8328
23-May-2021,93.27,84.13,72.9238
22-May-2021,93.1,83.86,72.918
21-May-2021,93.1,83.86,72.918
20-May-2021,92.91,83.57,73.029
19-May-2021,92.91,83.57,73.2299
18-May-2021,92.91,83.57,73.1458
17-May-2021,92.64,83.28,73.3355
16-May-2021,92.64,83.28,73.2813
15-May-2021,92.4,83.01,73.2796
14-May-2021,92.4,83.01,73.2796
13-May-2021,92.11,82.67,73.4537
12-May-2021,92.11,82.67,73.6958
11-May-2021,91.86,82.42,73.3647
10-May-2021,91.59,82.12,73.4925
30-Apr-2021,90.44,80.77,74.0929
29-Apr-2021,90.44,80.77,74.0929
28-Apr-2021,90.44,80.77,74.3325
27-Apr-2021,90.44,80.77,74.5802
26-Apr-2021,90.44,80.77,74.8238
25-Apr-2021,90.44,80.77,74.9163
24-Apr-2021,90.44,80.77,74.8671
23-Apr-2021,90.44,80.77,74.8668
22-Apr-2021,90.44,80.77,75.0699
21-Apr-2021,90.44,80.77,75.4272
20-Apr-2021,90.44,80.77,75.4497
19-Apr-2021,90.44,80.77,74.8743
18-Apr-2021,90.44,80.77,74.5305
17-Apr-2021,90.44,80.77,74.5566
16-Apr-2021,90.44,80.77,74.5646
15-Apr-2021,90.44,80.77,74.7301
14-Apr-2021,90.6,80.91,75.0481
13-Apr-2021,90.6,80.91,75.1673
12-Apr-2021,90.6,80.91,74.99
11-Apr-2021,90.6,80.91,74.7395
10-Apr-2021,90.6,80.91,74.7324
31-Mar-2021,90.6,80.91,73.2065
30-Mar-2021,90.6,80.91,73.4087
29-Mar-2021,90.82,81.14,72.7416
28-Mar-2021,90.82,81.14,72.4904
27-Mar-2021,90.82,81.14,72.4473
26-Mar-2021,90.82,81.14,72.445
25-Mar-2021,90.82,81.14,72.6268
24-Mar-2021,91.03,81.34,72.6332
23-Mar-2021,91.21,81.51,72.6193
22-Mar-2021,91.21,81.51,72.3888
21-Mar-2021,91.21,81.51,72.4271
20-Mar-2021,91.21,81.51,72.442
19-Mar-2021,91.21,81.51,72.4416
18-Mar-2021,91.21,81.51,72.6615
17-Mar-2021,91.21,81.51,72.29
16-Mar-2021,91.21,81.51,72.5264
15-Mar-2021,91.21,81.51,72.5046
14-Mar-2021,91.21,81.51,72.6784
13-Mar-2021,91.21,81.51,72.6886
12-Mar-2021,91.21,81.51,72.6892
11-Mar-2021,91.21,81.51,72.648
10-Mar-2021,91.21,81.51,72.7126
28-Feb-2021,91.21,81.51,73.7169
27-Feb-2021,91.21,81.51,73.5964
26-Feb-2021,91.21,81.36,73.5954
25-Feb-2021,91.21,81.36,73.1691
24-Feb-2021,91.21,81.36,72.3332
23-Feb-2021,91.21,81.36,72.3787
22-Feb-2021,91.21,81.01,72.4453
21-Feb-2021,91.21,81.01,72.542
20-Feb-2021,91.21,81.01,72.573
19-Feb-2021,91.21,80.64,72.5539
18-Feb-2021,91.21,80.31,72.6137
17-Feb-2021,91.21,79.99,72.7479
16-Feb-2021,90.97,79.74,72.9634
15-Feb-2021,90.97,79.39,72.6434
14-Feb-2021,90.97,79.1,72.6021
13-Feb-2021,90.97,78.78,72.591
12-Feb-2021,90.62,78.42,72.5894
11-Feb-2021,90.62,78.07,72.7119
10-Feb-2021,90.62,77.77,72.8076
31-Jan-2021,87.64,76.52,72.9211
30-Jan-2021,87.34,76.52,72.9094
29-Jan-2021,86.99,76.52,72.9086
28-Jan-2021,86.99,76.52,72.9652
27-Jan-2021,86.99,76.52,73.0227
26-Jan-2021,86.99,76.27,72.908
25-Jan-2021,86.69,75.92,72.9713
24-Jan-2021,86.34,75.92,72.9953
23-Jan-2021,86.34,75.92,72.9972
22-Jan-2021,86.34,75.67,72.9972
21-Jan-2021,86.34,75.42,72.9796
20-Jan-2021,86.34,75.42,72.9099
19-Jan-2021,86.34,75.42,73.1931
18-Jan-2021,86.34,75.17,73.1929
17-Jan-2021,86.34,74.92,73.179
16-Jan-2021,86.09,74.92,73.1278
15-Jan-2021,85.74,74.92,73.1617
14-Jan-2021,85.74,74.92,73.0912
13-Jan-2021,85.74,74.67,73.1593
12-Jan-2021,85.49,74.42,73.1379
11-Jan-2021,85.24,74.42,73.5122
10-Jan-2021,85.24,74.42,73.4053
31-Dec-2020,84.24,73.88,73.0574
30-Dec-2020,84.24,73.88,73.1842
29-Dec-2020,84.24,73.88,73.4404
28-Dec-2020,84.24,73.88,73.5476
27-Dec-2020,83.99,73.88,73.7262
26-Dec-2020,83.71,73.88,73.5569
25-Dec-2020,83.71,73.88,73.6639
24-Dec-2020,83.71,73.88,73.5581
23-Dec-2020,83.71,73.88,73.8255
22-Dec-2020,83.71,73.88,74.0614
21-Dec-2020,83.71,73.88,73.9396
20-Dec-2020,83.71,73.88,73.6173
19-Dec-2020,83.71,73.88,73.6044
18-Dec-2020,83.71,73.88,73.6098
17-Dec-2020,83.71,73.88,73.5522
16-Dec-2020,83.71,73.88,73.6059
15-Dec-2020,83.71,73.88,73.5258
14-Dec-2020,83.71,73.88,73.6454
13-Dec-2020,83.71,73.88,73.7573
12-Dec-2020,83.71,73.88,73.7355
11-Dec-2020,83.71,73.88,73.7383
10-Dec-2020,83.71,73.88,73.7842
30-Nov-2020,83.71,72.43,74.0029
29-Nov-2020,83.71,72.43,73.9511
28-Nov-2020,83.71,72.14,73.9597
27-Nov-2020,83.71,71.87,73.9337
26-Nov-2020,83.41,71.63,73.8288
25-Nov-2020,83.13,71.42,73.7861
24-Nov-2020,82.86,71.42,73.9641
23-Nov-2020,82.66,71.26,74.246
22-Nov-2020,82.49,71.08,74.1421
21-Nov-2020,82.34,70.91,74.1617
20-Nov-2020,82.34,70.72,74.1655
19-Nov-2020,82.34,70.51,74.1096
18-Nov-2020,82.13,70.51,74.2549
17-Nov-2020,81.89,70.51,74.5015
16-Nov-2020,81.7,70.51,74.3434
15-Nov-2020,81.59,70.51,74.5026
14-Nov-2020,81.59,70.51,74.5379
13-Nov-2020,81.53,70.51,74.5379
12-Nov-2020,81.46,70.51,74.6796
11-Nov-2020,81.41,70.51,74.5251
10-Nov-2020,81.28,70.51,74.2974
31-Oct-2020,81.12,70.51,74.6138
30-Oct-2020,81.12,70.51,74.5478
29-Oct-2020,81.12,70.51,74.2956
28-Oct-2020,81.12,70.51,74.1812
27-Oct-2020,81.12,70.51,73.8039
26-Oct-2020,81.12,70.51,73.9442
25-Oct-2020,81.12,70.51,73.8182
24-Oct-2020,81.12,70.51,73.8369
23-Oct-2020,81.12,70.51,73.8369
22-Oct-2020,81.12,70.51,73.682
21-Oct-2020,81.12,70.51,73.7296
20-Oct-2020,81.12,70.51,73.4822
19-Oct-2020,81.12,70.51,73.3828
18-Oct-2020,81.12,70.51,73.4473
17-Oct-2020,81.12,70.51,73.4444
16-Oct-2020,81.12,70.51,73.443
15-Oct-2020,81.12,70.51,73.3595
14-Oct-2020,81.12,70.51,73.2974
13-Oct-2020,81.12,70.51,73.4196
12-Oct-2020,81.12,70.51,73.3584
11-Oct-2020,81.12,70.51,73.004
10-Oct-2020,81.12,70.51,72.964
30-Sep-2020,81.12,70.69,73.5282
29-Sep-2020,81.12,70.69,73.7139
28-Sep-2020,81.12,70.77,73.7319
27-Sep-2020,81.12,70.85,73.6844
26-Sep-2020,81.12,71.0,73.6994
25-Sep-2020,81.12,71.16,73.6994
24-Sep-2020,81.12,71.34,73.9365
23-Sep-2020,81.12,71.34,73.7652
22-Sep-2020,81.12,71.34,73.5063
21-Sep-2020,81.12,71.49,73.5766
20-Sep-2020,81.12,71.64,73.5713
19-Sep-2020,81.12,71.88,73.613
18-Sep-2020,81.12,72.08,73.613
17-Sep-2020,81.12,72.43,73.5724
16-Sep-2020,81.12,72.62,73.5327
15-Sep-2020,81.12,72.62,73.6216
14-Sep-2020,81.12,72.84,73.3851
13-Sep-2020,81.12,72.99,73.4871
12-Sep-2020,81.12,72.99,73.4765
11-Sep-2020,81.2,73.11,73.4765
10-Sep-2020,81.2,73.11,73.5283
31-Aug-2020,82.05,73.62,73.4378
30-Aug-2020,82.14,73.62,73.1393
29-Aug-2020,82.14,73.62,73.1288
28-Aug-2020,82.14,73.62,73.1288
27-Aug-2020,82.14,73.62,73.7821
26-Aug-2020,82.14,73.62,74.239
25-Aug-2020,82.14,73.62,74.2457
24-Aug-2020,82.14,73.62,74.1767
23-Aug-2020,82.14,73.62,74.9056
22-Aug-2020,82.14,73.62,74.9264
21-Aug-2020,82.09,73.62,74.9264
20-Aug-2020,82.09,73.62,74.9908
19-Aug-2020,82.0,73.62,74.9675
18-Aug-2020,82.0,73.62,74.5587
17-Aug-2020,81.89,73.62,74.728
16-Aug-2020,81.79,73.62,74.864
15-Aug-2020,81.79,73.62,74.8518
14-Aug-2020,81.68,73.62,74.8524
13-Aug-2020,81.55,73.62,74.8147
12-Aug-2020,81.41,73.62,74.7691
11-Aug-2020,81.25,73.62,74.6097
10-Aug-2020,81.06,73.62,74.8738
31-Jul-2020,80.47,73.62,74.9314
30-Jul-2020,80.47,82.0,74.8434
29-Jul-2020,80.47,82.0,74.8203
28-Jul-2020,80.47,82.0,74.9151
27-Jul-2020,80.47,82.0,74.7784
26-Jul-2020,80.47,82.0,74.7436
25-Jul-2020,80.47,81.85,74.7218
24-Jul-2020,80.47,81.7,74.7218
23-Jul-2020,80.47,81.7,74.8515
22-Jul-2020,80.47,81.7,74.6064
21-Jul-2020,80.47,81.7,74.5328
20-Jul-2020,80.47,81.7,74.7488
19-Jul-2020,80.47,81.58,74.915
18-Jul-2020,80.47,81.58,74.8987
17-Jul-2020,80.47,81.41,74.8987
16-Jul-2020,80.47,81.24,75.1779
15-Jul-2020,80.47,81.24,75.1363
13-Jul-2020,80.47,81.11,75.2183
12-Jul-2020,80.47,81.0,75.1925
11-Jul-2020,80.47,80.84,75.1925
10-Jul-2020,80.47,80.84,75.1569
30-Jun-2020,80.47,80.57,75.5596
29-Jun-2020,80.47,80.57,75.4932
28-Jun-2020,80.47,80.44,75.6125
27-Jun-2020,80.47,80.44,75.6249
26-Jun-2020,80.47,80.23,75.6249
25-Jun-2020,80.47,80.06,75.5276
24-Jun-2020,80.47,79.92,75.767
23-Jun-2020,80.47,79.44,75.6579
22-Jun-2020,80.47,78.89,75.7731
21-Jun-2020,80.47,78.31,76.2521
20-Jun-2020,80.47,77.71,76.2514
19-Jun-2020,80.47,77.1,76.2514
18-Jun-2020,80.42,76.47,76.3882
17-Jun-2020,80.42,75.83,76.2743
16-Jun-2020,80.17,75.23,76.3733
15-Jun-2020,79.96,74.66,75.9616
14-Jun-2020,79.8,74.01,75.9522
13-Jun-2020,79.8,73.41,75.954
12-Jun-2020,79.6,72.81,75.954
11-Jun-2020,79.27,72.21,76.0315
10-Jun-2020,78.92,71.61,75.6739
30-May-2020,73.44,69.43,75.5263
30-May-2020,73.04,69.43,75.5263
29-May-2020,72.5,69.43,75.5263
29-May-2020,71.9,69.43,75.5263
28-May-2020,71.3,69.43,75.7125
28-May-2020,71.3,69.43,75.7125
27-May-2020,71.3,69.43,75.8779
27-May-2020,71.3,69.43,75.8779
26-May-2020,71.3,69.43,75.5242
26-May-2020,71.3,69.43,75.5242
25-May-2020,71.3,69.43,75.8846
25-May-2020,71.3,69.43,75.8846
24-May-2020,71.3,69.43,75.9436
24-May-2020,71.3,69.43,75.9436
23-May-2020,71.3,69.43,75.9955
23-May-2020,71.3,69.43,75.9955
22-May-2020,71.3,69.43,75.9771
22-May-2020,71.3,69.43,75.9771
21-May-2020,71.3,69.43,75.6381
20-May-2020,71.3,69.43,75.5399
19-May-2020,71.3,69.43,75.7116
18-May-2020,71.3,69.43,75.6006
17-May-2020,71.3,69.43,75.8539
16-May-2020,71.3,69.43,75.8751
15-May-2020,71.3,69.43,75.8751
14-May-2020,71.3,69.43,75.4425
13-May-2020,71.3,69.43,75.4204
12-May-2020,71.3,69.43,75.3341
11-May-2020,71.3,69.43,75.9437
10-May-2020,71.3,69.43,75.5335
16-Mar-2020,71.3,62.33,74.3278
15-Mar-2020,71.3,62.48,74.0161
14-Mar-2020,69.63,62.6,73.8867
13-Mar-2020,69.79,62.78,73.8863
12-Mar-2020,69.91,62.93,74.4382
10-Mar-2020,70.04,63.05,73.5691
29-Feb-2020,71.53,64.52,72.1722
27-Feb-2020,71.89,64.66,71.6959
24-Feb-2020,71.96,64.71,72.0493
18-Feb-2020,72.01,64.66,71.5827
11-Feb-2020,72.23,64.88,71.2854
10-Feb-2020,72.45,65.08,71.2988
31-Jan-2020,73.66,66.34,71.4969
30-Jan-2020,73.77,66.42,71.5695
28-Jan-2020,73.93,66.64,71.2402
27-Jan-2020,74.23,66.77,71.4513
26-Jan-2020,74.48,67.04,71.3288
25-Jan-2020,74.7,67.34,71.3263
24-Jan-2020,74.88,67.64,71.3263
23-Jan-2020,75.04,67.9,71.3311
21-Jan-2020,75.15,68.1,71.2426
20-Jan-2020,75.32,68.32,71.0383
19-Jan-2020,75.47,68.51,71.0508
18-Jan-2020,75.61,68.67,71.0409
17-Jan-2020,75.76,68.83,71.0409
16-Jan-2020,75.86,68.98,70.9539
13-Jan-2020,75.97,69.12,70.7271
12-Jan-2020,76.07,69.18,70.9614
11-Jan-2020,76.02,69.23,70.9577
10-Jan-2020,75.87,69.11,70.991
